scan_number,RT,pepmass,intensity,summed_ms2_intensity,126.0917,147.113,175.119,pass_threshold
385,731.5117957,725.16650390625,5336.20654296875,44866.2814941408,no,no,no,no
407,739.8237605,758.225280761719,10852.396484375,53288.81115722669,no,no,no,no
413,741.7919179,815.215637207031,11791.1953125,60188.8439941411,no,no,no,no
419,743.7697016,532.653076171875,15189.1298828125,78592.5018310552,no,no,no,no
433,748.9116617,391.285491943359,9907.0693359375,58023.937988281505,no,no,no,no
438,750.5084732,744.195373535156,10870.82421875,39453.9797363283,no,no,no,no
441,751.3141909,539.164978027344,31093.01171875,88358.32202148481,no,no,no,no
467,761.2012077,533.192504882813,14391.490234375,76377.64257812509,no,no,no,no
480,765.9515431,440.800354003906,4767.9248046875,56127.4691162112,no,no,no,no
527,784.1457554,839.216979980469,0.0,44758.603637695705,no,no,no,no
537,787.7108744,607.211547851563,11948.296875,35910.5292968752,no,no,no,no
567,799.1859499,741.197387695313,20223.685546875,59845.65161132829,no,no,no,no
569,799.5889259,667.178527832031,21570.681640625,42520.9442138674,no,no,no,no
580,803.557167,815.216064453125,23831.71484375,41554.05822753921,no,no,no,no
586,805.5510831,734.137145996094,0.0,38184.6337890625,no,no,no,no
601,811.0988798,610.185913085938,25643.767578125,63121.3179931642,no,no,no,no
602,811.3675112,391.285614013672,12474.2509765625,121322.38610839868,no,no,no,no
628,821.2035088,624.237976074219,8255.0625,48432.747070312806,no,no,no,no
654,831.6511401,893.817810058594,2786.63427734375,44316.690673828394,no,no,no,no
699,850.0547086,607.210571289063,11837.794921875,41852.8789062501,no,no,no,no
712,855.0829031,758.222961425781,12922.64453125,40759.76135253931,no,no,no,no
725,860.1270852,741.1962890625,13324.369140625,54074.40832519532,no,no,no,no
768,877.7170853,889.234924316406,8619.0419921875,50064.15246582041,no,no,no,no
775,880.1959962,393.852294921875,13818.62109375,61886.85119628921,no,no,no,no
777,880.6017238,1063.838745117188,0.0,35466.9732666017,no,no,no,no
789,885.0277,533.192443847656,18521.107421875,42251.1678466796,no,no,no,no
791,885.4330701,706.764892578125,15800.283203125,59013.12634277381,no,no,no,no
794,886.2522761,1217.588012695313,0.0,67166.15942382842,no,no,no,no
809,891.8385644,1196.564086914063,0.0,34797.782592773496,no,no,no,no
814,893.445158,845.777770996094,0.0,63280.55273437501,no,no,no,no
820,895.4518017,1211.701416015625,15453.2109375,36260.126220703096,no,no,no,no
838,902.2323111,818.215209960938,7720.228515625,48158.3813476566,no,no,no,no
844,904.2384896,1116.66552734375,0.0,44783.050170899005,no,no,no,no
847,905.0507119,684.204895019531,8838.6416015625,31465.335083008104,no,no,no,no
857,908.6492093,376.92236328125,12784.3642578125,66210.13562011739,no,no,no,no
869,913.0426759,888.764770507813,10021.197265625,49716.424194336214,no,no,no,no
874,914.6472712,890.235107421875,5254.7099609375,51101.75439453169,no,no,no,no
879,916.2560604,1066.624267578125,0.0,51195.0258789066,no,no,no,no
906,926.6209139,1080.680786132813,16796.123046875,97092.50170898478,no,no,no,no
907,926.8893079,670.176208496094,9551.69140625,99528.39514160216,no,no,no,no
920,931.4798812,919.716491699219,9804.21484375,44353.81945800791,no,no,no,no
926,933.4933156,741.197448730469,23089.466796875,49577.0681152345,no,no,no,no
939,938.2794977,394.920471191406,18190.302734375,50429.3327636724,no,no,no,no
944,939.8840597,380.914306640625,20574.2421875,93354.51318359398,no,no,no,no
947,940.695797,952.238403320313,0.0,49022.3186035157,no,no,no,no
956,943.8933086,744.196105957031,12499.0654296875,42335.745849609804,no,no,no,no
958,944.2940289,969.199829101563,0.0,51019.813720703496,no,no,no,no
964,946.3090871,915.74365234375,54870.41015625,74601.0576171876,no,no,no,no
972,949.1057218,667.178405761719,35282.08984375,63350.14892578151,no,no,no,no
979,951.5066388,393.852355957031,28362.8046875,91381.52233886738,no,no,no,no
983,952.7127356,725.165710449219,5053.83349609375,28721.611694336,no,no,no,no
986,953.5254404,807.176574707031,0.0,30874.3802490235,no,no,no,no
991,955.1303869,1184.103881835938,5545.51220703125,50325.0825195314,no,no,no,no
1004,959.9164737,790.807312011719,16834.08984375,83666.26330566408,no,no,no,no
1023,967.0799606,889.234985351563,9925.2666015625,50494.468750000204,no,no,no,no
1032,970.2739645,1208.528076171875,7071.39599609375,48585.8970947269,no,no,no,no
1045,975.0535565,1124.066162109375,0.0,40318.772338867304,no,no,no,no
